,name,review,bookmark,smile,sad,address,district,cuisine,dish,Latitude,Longitude,Easting,Northing
61,Chicken Pocha,22.0,1610,15.0,1.0,"Shop 13&16, G/F, Shopping Arcade A Wealthy Garden, 18 Tsuen Kwai Street,",Tsuen Wan,Korean Fried Chicken,Korean,22.36902,114.12233,830650,825540
62,Chicken HOF & SOJU 李家,50.0,1783,27.0,4.0,"G/F, 67 Tam Kung Rd,",To Kwa Wan,Korean Fried Chicken,Korean,22.32272,114.18833,837449,820412
63,SUN HARU,29.0,417,21.0,3.0,,旺角,Korean Fried Chicken,Korean,22.32758,114.16303,834841,820950
64,Cha:rm,116.0,2758,58.0,10.0,"Shop 7, G/F, Tai Wo Centre 1, 15 Tai Po Tai Wo Road,",Tai Po,Korean Fried Chicken,Korean,22.45216,114.16409,834952,834746
65,咯咯雞韓食店,24.0,2427,15.0,3.0,"G/F, 61 Tai Kok Tsui Road,",Tai Kok Tsui,Korean Fried Chicken,Korean,22.32015,114.16179,834713,820127
66,The Cha:rm,76.0,2463,47.0,6.0,"Shop G06A2, G/F, Fuller Garden, 8 Chui Lok Street,",Tai Po,Korean Fried Chicken,Korean,22.45387,114.16481,835026,834934
67,Chicken Bro 炸雞兄弟,18.0,316,17.0,1.0,"Room 309, 3/F, Decca Industrial Centre, 12 Kut Shing Street,",Chai Wan,Korean Fried Chicken,Korean,22.265,114.2353,842290,814021
68,Mi Dam Korean BBQ Restaurant 美談韓國,41.0,1500,19.0,4.0,"Tat Tung Road Garden,",Tung Chung,Korean Fried Chicken,Korean,22.28584,113.9427,812135,816346
69,KollaBo,34.0,785,20.0,6.0,"Shop G1015, G/F, Yiu Sing Mansion, Stage 10, Taikoo Shing, 18 Taikoo Shing Road,",Tai Koo,Korean Fried Chicken,Korean,22.28636,114.2187,840578,816386
70,Momoku (Siu Sai Wan Plaza) 韓樂 (小西灣廣場),66.0,957,20.0,8.0,"Shop 111, 1/F, Siu Sai Wan Plaza 10 Siu Sai Wan Road,",Chai Wan,Korean Fried Chicken,Korean,22.26268,114.24875,843676,813765
71,Ray’s kitchen 星·韓式小館,21.0,1822,11.0,1.0,"Shop A2 & A5, G/F, Riviera Mansion, 2A Hoi Wan Street,",Quarry Bay,Korean Fried Chicken,Korean,22.28814,114.21141,839827,816583
72,Yeh Chan Korean Retaurant 藝餐,58.0,1488,22.0,9.0,"Shop B21, 1/F, Kwai Chung Plaza, 7 Kwai Foo Road,",Kwai Fong,Korean Fried Chicken,Korean,22.3581,114.12762,831195,824330
73,Café Hansik 咖啡韓食,74.0,1280,16.0,15.0,"G/F, Shop 83-85, Fortune City One, City One Shatin,",Sha Tin,Korean Fried Chicken,Korean,22.38541,114.20466,839129,827354
74,Popcorn Chicken Korean Restaurant 爆谷雞,27.0,1252,13.0,2.0,"G/F, 25 High Street, Sai Ying Pun,",Western District,Korean Fried Chicken,Korean,22.28486,114.1441,832890,816220
