, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n,long_lat
92, ,10/06/2019,Wan Chai,"Shop B on G/F, , No.0303 Hennessy Road, Wan Chai, Hong Kong",-,-,2464,250000.0,@$101,Market,"(835887.07146, 815416.809)","(114.173178166, 22.277613664)"
93, ,10/06/2019,Causeway Bay,"Shop 125 on G/F, , Rita House, No.0123-0125 Leighton Road, Causeway Bay, Hong Kong",-,-,900,50000.0,@$56,Market,"(837250, 815491)","(114.18640282, 22.278283415)"
94, ,10/06/2019,Wan Chai,"No. 0414-0424, Chinaweal Centre, Jaffe Road, Wan Chai, Hong Kong",9,A,1792,69888.0,@$39,Market,"(836653, 815700)","(114.180610103, 22.280171056)"
95, ,10/06/2019,Kwun Tong,"No. 0052-0056, COS Centre, Tsun Yip Street, Kwun Tong, Kowloon",1,B,4229,136000.0,@$32,Market,"(840992, 819129)","(114.222722651, 22.311130606)"
96, ,10/06/2019,Kwun Tong,"No. 0003, Wing Tai Factory Building, Tai Yip Street, Kwun Tong, Kowloon",13,W/F,3200,42000.0,@$13,Market,"(840338, 819593)","(114.216376503, 22.315322476)"
97, ,10/06/2019,Kwun Tong,"No. 0062, Camelpaint Building Block 1, Hoi Yuen Road, Kwun Tong, Kowloon",8,A,3023,50000.0,@$17,Market,"(841228.8641, 819081.1207)","(114.225021362, 22.310697561)"
98, ,10/06/2019,Tsuen Wan,"No. 0002-0006, The Octagon, Sha Tsui Road, Tsuen Wan, New Territories",25,10-11,2356,47120.0,@$20,Market,"(824155, 825435)","(114.059265238, 22.36804119)"
99, ,10/06/2019,Sheung Shui,"No. 0039, Landmark North, Lung Sum Avenue, Sheung Shui, New Territories",18,3,1912,16250.0,@$9,Land Registry,"(831324, 844187)","(114.128813116, 22.537415643)"
100, ,01/02/2019,Kwun Tong,"No. 0221, Mai Tak Industrial Building, Wai Yip Street, Kwun Tong, Kowloon",7,D(07),189,3213.0,@$17,Market,"(841034, 818836)","(114.223129405, 22.308484524)"
101, ,01/02/2019,Tsuen Wan,"No. 78-84, Jing Ho Industrial Building, Wang Lung Street, Tsuen Wan, New Territories",18,B(02),310,4340.0,@$14,Market,"(830250, 825097)","(114.118444852, 22.365021033)"
102, ,01/02/2019,North Point,"No. 0039, Kodak House II, Healthy Street East, North Point, Hong Kong",15,02-04,9493,212000.0,@$22,Land Registry,"(839415.6875, 817070.21875)","(114.207419867, 22.292542157)"
103, ,01/02/2019,Yuen Long,"No. 0016, Forda Industrial Building, Wang Chau Road, Yuen Long, New Territories",10,B,9650,106150.0,@$11,Market,"(821088, 834159)","(114.029403697, 22.446798608)"
104, ,01/02/2019,San Po Kong,"No. 0114, Chiap King Industrial Building, King Fuk Street, San Po Kong, Kowloon",5,A(03),166,2800.0,@$17,Market,"(838617, 821742)","(114.199676177, 22.334732422)"
105, ,01/02/2019,Kwun Tong,"No. 0006, Fully Industrial Building, Tsun Yip Lane, Kwun Tong, Kowloon",2,B(12),228,3876.0,@$17,Market,"(841122, 819270)","(114.22398478, 22.312403559)"
106, ,01/02/2019,Kwun Tong,"No. 0106, Crown Industrial Building, How Ming Street, Kwun Tong, Kowloon",3,1,1719,32661.0,@$19,Market,"(841106, 819207)","(114.223829302, 22.311834676)"
107, ,01/02/2019,Hung Hom,"No. 0036, Winner Building, Man Yue Street, Hung Hom, Kowloon",G,E,7535,143165.0,@$19,Market,"(837508, 818838)","(114.188908825, 22.308508743)"
108, ,01/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",1,E16,172,3440.0,@$20,Market,"(841321, 818989)","(114.225915284, 22.309865387)"
109, ,01/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",1,E20,190,3800.0,@$20,Market,"(841321, 818989)","(114.225915284, 22.309865387)"
110, ,01/02/2019,Kwun Tong,"No. 0116/0118, Manning Industrial Building, How Ming Street, Kwun Tong, Kowloon",8,D28,77,2300.0,@$30,Market,"(841160, 819123)","(114.224353139, 22.311075953)"
111, ,01/02/2019,Kowloon Bay,"No. 0019, Kenning Industrial Building, Wang Hoi Road, Kowloon Bay, Kowloon",G,2,3431,220000.0,@$64,Land Registry,"(839729, 820533)","(114.210467775, 22.323812567)"
112, ,01/02/2019,Kwai Chung,"ATL-B (Asia Terminals Centre), Container Terminal 3, Kwai Chung, New Territories",9,E01-E09,66189,1130000.0,@$17,Market,"(830925, 822691)","(114.125006547, 22.343295756)"
113, ,01/02/2019,Tuen Mun,"No. 16, Pahsang Industrial Building, San On Street, Tuen Mun, New Territories",UG,A02,4350,39150.0,@$9,Market,"(815053, 828087)","(113.970856, 22.391901677)"
114, ,01/02/2019,San Po Kong,"No. 0031/0033, Wing Hin Factory Building, Ng Fong Street, San Po Kong, Kowloon",10,E(09),70,4000.0,@$57,Market,"(838738, 822085)","(114.200851258, 22.337829739)"
