, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n
48, ,27/12/2018,Cheung Sha Wan,"No. 682, Trendy Centre, Castle Peak Road, Cheung Sha Wan, Kowloon",22,1,645,13223.0,@$21,Market,"(833194, 822119)"
49, ,27/12/2018,Cheung Sha Wan,"No. 0041, Wui Wah Factory Building, Wing Hong Street, Cheung Sha Wan, Kowloon",3,C(02),185,3600.0,@$19,Market,"(833194, 822209)"
50, ,27/12/2018,Cheung Sha Wan,"No. 0041, Wui Wah Factory Building, Wing Hong Street, Cheung Sha Wan, Kowloon",3,C(06),185,3600.0,@$19,Market,"(833194, 822209)"
51, ,27/12/2018,Cheung Sha Wan,"No. 0041, Wui Wah Factory Building, Wing Hong Street, Cheung Sha Wan, Kowloon",3,C(31),226,4900.0,@$22,Market,"(833194, 822209)"
52, ,27/12/2018,Cheung Sha Wan,"No. 0041, Wui Wah Factory Building, Wing Hong Street, Cheung Sha Wan, Kowloon",3,C(35),264,5700.0,@$22,Market,"(833194, 822209)"
53, ,27/12/2018,Cheung Sha Wan,"No. 0041, Wui Wah Factory Building, Wing Hong Street, Cheung Sha Wan, Kowloon",3,C(37),189,3600.0,@$19,Market,"(833194, 822209)"
54, ,27/12/2018,Cheung Sha Wan,"No. 0041, Wui Wah Factory Building, Wing Hong Street, Cheung Sha Wan, Kowloon",3,C(51),172,3400.0,@$20,Market,"(833194, 822209)"
55, ,27/12/2018,Kwai Chung,"No. 49-53, Vigor Industrial Building II, Ta Chuen Ping Street, Kwai Chung, New Territories",9,A,3032,25000.0,@$8,Market,"(832003, 825421)"
56, ,27/12/2018,Tsuen Wan,"Shop G6 on G/F, , Tak Tai Building, No.0035-0043 Texaco Road, Tsuen Wan, New Territories",-,-,200,18000.0,@$90,Market,"(830735, 825556)"
57, ,27/12/2018,Shau Kei Wan,"No. 0324, Asia Harvest Commerical Centre, Shau Kei Wan Road, Shau Kei Wan, Hong Kong",15,B,513,11999.0,@$23,Market,"(841645.441840001, 815323.98167)"
58, ,27/12/2018,Kowloon Bay,"No. 0008, Mega Cube, Wang Kwong Road, Kowloon Bay, Kowloon",7,10,950,21000.0,@$22,Market,"(839239, 820592)"
59, ,27/12/2018,Wong Chuk Hang,"No. 0033, Genesis, Wong Chuk Hang Road, Wong Chuk Hang, Hong Kong",8,E,1113,25599.0,@$23,Market,"(835098.21687, 812162.404340001)"
60, ,13/02/2019,Sheung Wan,"No. 0001, Kwong Fat Hong Building, Rumsey Street, Sheung Wan, Hong Kong",17,WF,1532,58216.0,@$38,Market,"(833815, 816337)"
